563,2016
564,2019
565,2019
566,2016
567,2016
568,2016
569,2016
570,2016
571,2016
572,2016
573,2019
574,2019
575,2018
576,2016
577,2017
578,2017
579,2020
580,2020
581,2022
582,2020
583,2022
584,0
585,0
586,0
587,0
588,2016
589,2018
590,2018
591,2018
592,2018
593,2018
594,2017
595,2016
596,2018
597,2018
598,2026
599,2017
600,2026
601,2026
602,2026
603,2016
604,2016
605,0
606,2017
607,2020
608,2016
609,2016
610,2026
611,2017
612,2020
613,2017
614,2017
615,2016
616,2016
617,2017
618,2016
619,2016
620,2016
621,2016
622,2016
623,2016
624,2016
625,2017
626,2022
627,2017
628,2017
629,2018
630,2017
631,2016
632,2019
633,2019
634,2016
635,2017
636,2017
637,2019
638,2024
639,2024
640,2016
641,2016
642,2017
643,2016
644,2021
645,2020
646,2018
647,0
648,2016
649,2018
650,2016
651,2018
652,2018
653,2016
654,2016
655,2016
656,2021
657,2026
658,2016
659,2016
660,2016
661,2016
662,0
663,0
664,0
665,2018
666,2018
667,2018
668,2016
669,2018
670,2018
671,2018
672,2017
673,2017
674,2016
675,2016
676,2017
677,2017
678,2017
679,2017
680,2016
681,2016
682,2016
683,0
684,2016
685,2016
686,2016
687,2016
688,2016
689,2020
690,2020
691,2020
692,2018
693,2017
694,2017
695,2016
696,2016
697,2016
698,2017
699,2016
700,2016
701,2017
702,2023
703,2019
704,2019
705,2017
706,2019
707,2019
708,2029
709,2016
710,2030
711,2016
712,2036
713,2016
714,2016
715,2016
716,2021
717,2021
718,2018
719,2018
720,2016
721,2018
722,2016
723,2016
724,2016
725,2016
726,2018
727,2018
728,2021
729,2021
730,2017
731,2017
732,2016
733,2026
734,2016
735,2016
736,2018
737,2016
738,2016
739,2016
740,0
741,0
742,2018
743,2017
744,2018
745,2016
746,2017
747,2018
748,2018
749,2017
750,2017
751,2017
752,2017
753,2017
754,2017
755,2016
756,2016
757,2016
758,2016
759,2016
760,2016
761,2016
762,2016
763,2016
764,2016
765,2019
766,2020
767,2017
768,2017
769,2017
770,2017
771,2016
772,2016
773,2016
774,2016
775,2016
776,2017
777,2017
778,2017
779,2017
780,2021
781,2018
782,2016
783,2016
784,2016
785,2016
786,2016
787,2037
788,2016
789,2016
790,2017
791,2016
792,2017
793,2016
794,2016
795,2016
796,2020
797,2017
798,2019
799,2018
800,2020
801,2025
802,2017
803,2017
804,2027
805,2016
806,2019
807,2016
808,2018
809,2016
810,2029
811,2025
812,2016
813,2018
814,2017
815,0
816,2017
817,2017
818,2016
819,2021
820,2018
821,2017
822,2017
823,2017
824,2017
825,2017
826,2017
827,0
828,2017
829,2017
830,2016
831,2017
832,2016
833,2019
834,2016
835,2016
836,2016
837,2016
838,2018
839,2017
840,2017
841,2021
842,2025
843,2018
844,2016
845,2016
846,2016
847,2016
848,2016
849,2024
850,2016
851,2017
852,2018
853,2018
854,2020
855,2020
856,2020
857,2022
858,2016
859,2016
860,2018
861,2037
862,2017
863,2030
864,2028
865,2031
866,2016
867,2016
868,2017
869,2019
870,2016
871,2016
872,2017
873,2017
874,2020
875,2018
876,2024
877,2016
878,2019
879,2018
880,2019
881,2019
882,2022
883,2016
884,2018
885,2020
886,2018
887,0
888,0
889,2016
890,2016
891,2016
892,0
893,2017
894,2016
895,2016
896,2016
897,2017
898,2018
899,2017
900,2022
901,2017
902,2016
903,0
904,2017
905,0
906,0
907,2016
908,2017
909,2019
910,2016
911,2016
912,2016
913,2016
914,2019
915,2027
916,2019
917,2019
918,2016
919,2018
920,2018
921,2016
922,2016
923,2016
924,2016
925,2024
926,2026
927,2026
928,2020
929,2031
930,2018
931,2022
932,2022
933,2016
934,2018
935,2020
936,2020
937,2030
938,2030
939,2018
940,2020
941,2028
942,2027
943,2028
944,2017
945,2020
946,2017
947,2017
948,2017
949,2017
950,2017
951,2016
952,2016
953,0
954,2017
955,0
956,0
957,2018
958,2016
959,2017
960,2027
961,2016
962,2017
963,2016
964,2017
965,2017
966,2018
967,2016
968,2016
969,2016
970,2016
971,2016
972,2017
973,2018
974,2017
975,2019
976,2021
977,2017
978,2016
979,2016
980,2016
981,2016
982,2016
983,2016
984,2016
985,2016
986,2016
987,2016
988,2017
989,2017
990,2016
991,2020
992,2016
993,2027
994,2026
995,2017
996,2027
997,2017
998,2017
999,2016
1000,2017
1001,2016
1002,2016
1003,0
1004,2016
1005,2016
1006,2016
1007,2016
1008,2016
1009,2016
1010,2016
1011,2016
1012,2017
1013,2027
1014,2021
1015,2034
1016,2021
1017,2016
1018,2016
1019,2016
1020,2020
1021,2021
1022,2020
1023,2020
1024,2019
1025,2027
1026,2016
1027,2020
1028,2016
1029,2017
1030,2017
1031,2030
1032,2030
1033,2028
1034,2018
1035,2017
1036,2016
1037,2016
1038,2025
1039,2022
1040,2016
